vehicle.make,vehicle.model,vehicle.year,vehicle.type,fuelType,reviewCount,rating,location.city
Tesla,Model 3,2018,car,ELECTRIC,3,5.0,Austin
Honda,Ridgeline,2014,truck,GASOLINE,1,5.0,Bastrop
Ford,F-150,2014,truck,GASOLINE,91,4.95,Austin
Toyota,Highlander,2019,suv,GASOLINE,34,4.97,Cedar Park
Mercedes-Benz,S-Class,2013,car,GASOLINE,5,5.0,Round Rock
Tesla,Model 3,2020,car,ELECTRIC,37,4.97,Austin
Tesla,Model X,2018,suv,ELECTRIC,6,5.0,Round Rock
BMW,X5,2012,suv,GASOLINE,8,5.0,Austin
Toyota,Prius,2009,car,HYBRID,31,4.48,Del Valle
Mercedes-Benz,GL-Class,2012,suv,GASOLINE,44,4.95,Austin
Chevrolet,Suburban,2020,suv,GASOLINE,0,,Cedar Park
FIAT,500,2012,car,GASOLINE,27,4.93,Austin
Mercedes-Benz,Metris,2018,minivan,GASOLINE,15,4.93,Austin
Jeep,Wrangler Unlimited,2020,suv,,8,5.0,Austin
Audi,A6,2018,car,GASOLINE,2,5.0,Austin
Dodge,Challenger,2015,car,GASOLINE,22,5.0,Austin
Jeep,Wrangler,2013,suv,GASOLINE,27,5.0,Austin
Hyundai,Genesis,2013,car,GASOLINE,25,4.84,Austin
Lexus,GS 350,2013,car,GASOLINE,7,5.0,Buda
Ford,Escape,2015,suv,GASOLINE,27,5.0,Austin
Mitsubishi,Eclipse Cross,2019,suv,GASOLINE,4,5.0,Liberty Hill
Jeep,Wrangler,2020,suv,GASOLINE,17,5.0,Leander
Mercedes-benz,C-Class,2019,car,GASOLINE,15,5.0,Austin
Nissan,Rogue,2019,suv,GASOLINE,10,4.5,Austin
Chevrolet,Suburban,2017,suv,GASOLINE,14,5.0,Waco
Chevrolet,Suburban,2012,suv,GASOLINE,15,5.0,Cedar Park
Audi,E-Tron,2019,suv,ELECTRIC,0,,Austin
Infiniti,QX60,2020,suv,GASOLINE,8,5.0,Austin
